1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
124,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"18,660",100.00%,,,"89,721",72.11%,,,,,,,,,,,,,,,,,,,,,,
125,Arizona,AZ,4,n/a,,,,,Party Votes:,D,"18,660",,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Arizona,AZ,4,H2AZ04101,,Don,Karg,"Karg, Don",,R,"8,073",99.90%,,,"26,435",21.25%,,,,,,,,,,,,,,,,,,,,,,
127,Arizona,AZ,4,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(R),8,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Arizona,AZ,4,n/a,,,,,Party Votes:,R,"8,081",,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Arizona,AZ,4,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,GRE,71,100.00%,,,"4,464",3.59%,,,,,,,,,,,,,,,,,,,,,,
130,Arizona,AZ,4,n/a,,,,,Party Votes:,GRE,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Arizona,AZ,4,H8AZ04124,,Joe,Cobb,"Cobb, Joe",,LBT,156,100.00%,,,"3,807",3.06%,,,,,,,,,,,,,,,,,,,,,,
132,Arizona,AZ,4,n/a,,,,,Party Votes:,LBT,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Arizona,AZ,4,n/a,,,,,District Votes:,,"26,968",,,,"124,427",,,,,,,,,,,,,,,,,,,,,,,
134,Arizona,AZ,5,H6AZ05067,(I),Harry,Mitchell,"Mitchell, Harry",,D,"25,174",100.00%,,,"149,033",53.16%,,,,,,,,,,,,,,,,,,,,,,
135,Arizona,AZ,5,n/a,,,,,Party Votes:,D,"25,174",,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Arizona,AZ,5,H4AZ06045,,David,Schweikert,"Schweikert, David",,R,"14,233",29.50%,,,"122,165",43.57%,,,,,,,,,,,,,,,,,,,,,,
137,Arizona,AZ,5,H4AZ01061,,Susan,Bitter Smith,"Bitter Smith, Susan",,R,"13,212",27.38%,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Arizona,AZ,5,H8AZ05089,,Laura,Knaperek,"Knaperek, Laura",,R,"7,523",15.59%,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Arizona,AZ,5,H8AZ05113,,Mark,Anderson,"Anderson, Mark",,R,"6,539",13.55%,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Arizona,AZ,5,H8AZ05071,,Jim,Ogsbury,"Ogsbury, Jim",,R,"6,042",12.52%,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Arizona,AZ,5,H8AZ05121,,Lee,Gentry,"Gentry, Lee",,R,706,1.46%,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Arizona,AZ,5,n/a,,,,,Party Votes:,R,"48,255",,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Arizona,AZ,5,H2AZ05124,,Warren,Severin,"Severin, Warren",,LBT,207,100.00%,,,"9,158",3.27%,,,,,,,,,,,,,,,,,,,,,,
144,Arizona,AZ,5,n/a,,,,,Party Votes:,LBT,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Arizona,AZ,5,H8AZ05147,,Ralph,Hughes,"Hughes, Ralph",,W,n/a,n/a,,,9,0.00%,,,,,,,,,,,,,,,,,,,,,,
146,Arizona,AZ,5,n/a,,,,,District Votes:,,"73,636",,,,"280,365",,,,,,,,,,,,,,,,,,,,,,,
147,Arizona,AZ,6,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,R,"51,562",100.00%,,,"208,582",62.42%,,,,,,,,,,,,,,,,,,,,,,
148,Arizona,AZ,6,n/a,,,,,Party Votes:,R,"51,562",,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Arizona,AZ,6,H8AZ06053,,Rebecca ,Schneider,"Schneider, Rebecca ",,D,"15,644",73.75%,,,"115,457",34.55%,,,,,,,,,,,,,,,,,,,,,,
150,Arizona,AZ,6,H8AZ06046,,Chris,Gramazio,"Gramazio, Chris",,D,"5,568",26.25%,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Arizona,AZ,6,n/a,,,,,Party Votes:,D,"21,212",,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Arizona,AZ,6,H8AZ06061,,Rick,Biondi,"Biondi, Rick",,LBT,175,100.00%,,,"10,137",3.03%,,,,,,,,,,,,,,,,,,,,,,
153,Arizona,AZ,6,n/a,,,,,Party Votes:,LBT,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Arizona,AZ,6,n/a,,,,,District Votes:,,"72,949",,,,"334,176",,,,,,,,,,,,,,,,,,,,,,,
155,Arizona,AZ,7,H2AZ07070,(I),RaÌ¼l,Grijalva,"Grijalva, RaÌ¼l",,D,"30,630",100.00%,,,"124,304",63.26%,,,,,,,,,,,,,,,,,,,,,,
156,Arizona,AZ,7,n/a,,,,,Party Votes:,D,"30,630",,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Arizona,AZ,7,H4AZ02010,,Joseph,Sweeney,"Sweeney, Joseph",,R,"11,011",66.83%,,,"64,425",32.79%,,,,,,,,,,,,,,,,,,,,,,
158,Arizona,AZ,7,H8AZ07010,,Gene,Chewning,"Chewning, Gene",,R,"5,464",33.17%,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Arizona,AZ,7,n/a,,,,,Party Votes:,R,"16,475",,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Arizona,AZ,7,H8AZ07036,,Raymond Patrick,Petrulsky,"Petrulsky, Raymond Patrick",,W(LBT)/LBT,33,100.00%,,,"7,755",3.95%,,,,,,,,,,,,,,,,,,,,,,
161,Arizona,AZ,7,n/a,,,,,Party Votes:,LBT,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Arizona,AZ,7,H8AZ07028,,Harley,Meyer,"Meyer, Harley",,W,n/a,n/a,,,5,0.00%,,,,,,,,,,,,,,,,,,,,,,
