1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
132,AZ,Arizona,7,H4AZ07118,,Gustavo,Ortega,"Ortega, Gustavo",,W,,,,,17,0.02%,,,,,,
133,AZ,Arizona,7,H4AZ07100,,Samuel,Esquivel,"Esquivel, Samuel",,W,,,,,4,0.01%,,,,,,
134,AZ,Arizona,7,n/a,,,,,District Votes:,,"30,846",,,,"72,454",,,,,,,
135,AZ,Arizona,8,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,"53,771",73.26%,,,"128,710",75.81%,,,,,W,
136,AZ,Arizona,8,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,"19,629",26.74%,,,,,,,,,,
137,AZ,Arizona,8,n/a,,,,,Party Votes:,R,"73,400",,,,,,,,,,,
138,AZ,Arizona,8,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,W(AE)/AE,2,100.00%,,,"41,066",24.19%,,,,,,
139,AZ,Arizona,8,n/a,,,,,Party Votes:,AE,2,,,,,,,,,,,
140,AZ,Arizona,8,n/a,,,,,District Votes:,,"73,402",,,,"169,776",,,,,,,
141,AZ,Arizona,9,H2AZ09019 ,(I),Kyrsten,Sinema,"Sinema, Kyrsten",,D,"31,900",100.00%,,,"88,609",54.68%,,,,,W,
142,AZ,Arizona,9,n/a,,,,,Party Votes:,D,"31,900",,,,,,,,,,,
143,AZ,Arizona,9,H2AZ09035 ,,Wendy,Rogers,"Rogers, Wendy",,R,"30,484",60.61%,,,"67,841",41.86%,,,,,,
144,AZ,Arizona,9,H4AZ09023 ,,Andrew,Walter,"Walter, Andrew",,R,"19,808",39.39%,,,,,,,,,,
