STATE ABBREVIATION,DISTRICT,INCUMBENT INDICATOR,NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL ,COMBINED PARTIES
CA,47,,"Keysor, Jim ",D,"10,010",,,
CA,47,,"Mafi, Maziar ",D,"8,953",,,
CA,47,,"Nolan, David F. ",LBT,"4,892",,"8,081",
CA,47,,"Adam, Iris ",NL,"2,619",,"3,769",
CA,47,(I),"Cox, Christopher ",R,"134,959",,"181,365",
CA,48,,"Kouvelis, Peter ",D,"20,789",,"74,073",
CA,48,,"Maguire, Richard K. ",D,"13,704",,,
CA,48,,"Cobb, Joe Michael ",LBT,"2,511",,"7,269",
CA,48,,"Miles, Sharon K. ",NL,"2,751",,"8,269",
CA,48,,"Debow, Kim ",R,"1,998",,,
CA,48,,"Dornan, Mark ",R,"9,534",,,
CA,48,,"Griffith, William D. ",R,"5,362",,,
CA,48,,"Issa, Darrell ",R,"67,732",,"160,627",
CA,48,,"Luke, James ",R,"3,043",,,
CA,48,,"Mahan, Kevin M. ",R,"1,584",,,
CA,48,,"Mayerhofer, Ed ",R,753,,,
CA,48,,"Morrow, Bill ",R,"45,223",,,
CA,48,,"Snyder, Joe ",R,"8,480",,,
CA,48,,"Udall, Don ",R,"5,258",,,
CA,48,,"Rose, Eddie ",REF,"3,305",,"11,240",
CA,49,,"Davis, Susan A. ",D,"71,443",,"113,400",
CA,49,,"Ball, Doris ",LBT,"3,505",,"6,526",
CA,49,,"Bhatti, Tahir I. ",NL,"1,738",,"3,048",
CA,49,(I),"Bilbray, Brian P. ",R,"79,473",,"105,515",
CA,50,(I),"Filner, Bob ",D,"61,742",,"95,191",
CA,50,,"Willoughby, David A. ",LBT,"1,934",,"3,472",
CA,50,,"Kendall, Leeann S. ",NL,"1,187",,"2,283",
CA,50,,"Divine, Bob ",R,"18,339",,"38,526",
CA,50,,"Good, James Allen ",R,"3,044",,,
CA,50,,"Sorongon, Alexander ",R,"5,420",,,
CA,51,,"Barraza, George ""Jorge"" ",D,"50,245",,"81,408",
CA,51,,"Muhe, Daniel L. ",LBT,"5,103",,"7,159",
CA,51,,"Bourdette, Eric Hunter ",NL,"4,858",,"6,941",
CA,51,(I),"Cunningham, Randy ""Duke"" ",R,"126,038",,"172,291",
CA,52,,"Barkacs, Craig ",D,"36,715",,"63,537",
CA,52,,"Benoit, Michael ",LBT,"4,408",,"5,995",
CA,52,,"Sherman, Robert A. ",NL,"1,455",,"2,117",
CA,52,(I),"Hunter, Duncan ",R,"103,667",,"131,345",
CO,1,(I),"DeGette, Diana",D,"16,742",,"141,831",
CO,1,,"Combs, Richard",LBT,,,"5,852",
CO,1,,"Thomas, Jesse L.",R,"7,249",,"56,291",
CO,1,,"Nasser, Lyle",REF,,,"2,452",
CO,1,,"Schaefer, Paul",W,,,3,
CO,1,,"Swing, Gary W.",W,,,5,
CO,2,(I),"Udall, Mark",D,"17,388",,"155,725",
CO,2,,"Forthofer, Ronald N.",GRN,,,"12,398",
CO,2,,"Baker, David Michael",LBT,,,"5,655",
CO,2,,"Cox, Carolyn",R,"8,537",,"109,338",
CO,2,,"Johnson, Larry E.",R,"7,390",,,
CO,2,,"Hume, Sandy",W(R),987,,,
CO,2,,"Ryan, David L.",W(R),40,,,
CO,3,,"Imrie, Curtis",D,"9,517",,"87,921",
CO,3,,"Sakson, Drew",LBT,,,"9,982",
CO,3,(I),"McInnis, Scott",R,"22,873",,"199,204",
CO,3,,"Good, Victor A.",REF,,,"5,433",
CO,4,,"Hanks, Leslie J.",AMC,,,"9,955",
CO,4,,"Baker, Kordon L.",LBT,,,"19,713",
CO,4,,"Ward, Dan Sewell",NL,,,"19,721",
CO,4,(I),"Schaffer, Bob",R,"20,938",,"209,078",
CO,4,,"Swartz, David A.",W,,,"4,539",
CO,5,,"Kantor, Kerry",LBT,,,"37,719",
CO,5,,"MacKenzie, Randy",NL,,,"15,260",
CO,5,(I),"Hefley, Joel",R,"33,121",,"253,330",
CO,6,,"Heckman, John",CPP,,,"3,614",
CO,6,,"Toltz, Kenneth A.",D,"12,254",,"110,568",
CO,6,,"Katz, Adam D.",LBT,,,"6,885",
CO,6,(I),"Tancredo, Tom",R,"27,756",,"141,410",
CT,1,(I),"Larson, John B.",D,*,,"151,932",
CT,1,,"Backlund, Bob",R,*,,"59,331",
CT,2,,"Simmons, Rob",Combined,,,,"114,380"
CT,2,(I),"Gejdenson, Sam",D,*,,"111,520",
CT,2,,"Ondusko, Dianne Guenetta",D,,,,
CT,2,,"Simmons, Rob",IDP,,,"4,141",
CT,2,,"Simmons, Rob",R,*,,"110,239",
CT,3,(I),"DeLauro, Rosa L.",D,*,,"156,910",
CT,3,,"Dalby, Gail",NL,,,"1,258",
CT,3,,"Gold, June M.",R,*,,"60,037",
CT,4,,"Imre, John Peter",D,,,,
CT,4,,"Sanchez, Stephanie",D,*,,"84,472",
CT,4,,"Don, Frank M.",IDP,,,"1,097",
CT,4,,"Gislao, Daniel",LBT,,,"2,034",
CT,4,(I),"Shays, Christopher",R,*,,"119,155",
CT,5,,"Zdonczyk, Joseph A.",CNC,,,"4,653",
CT,5,(I),"Maloney, Jim",D,*,,"118,932",
CT,5,,"Nielsen, Mark",R,*,,"98,229",
CT,5,,"Joy, John M.",W,,,7,
CT,6,,"Knibbs, Timothy A.",CNC,,,"3,071",
CT,6,,"Valenti, Paul",D,*,,"75,471",
CT,6,,"Cole, Audrey A.",GRN,,,"7,303",
CT,6,(I),"Johnson, Nancy L.",R,*,,"143,698",
DC,0,(I),"Norton, Eleanor Holmes",D,"19,372",,"158,824",
DC,0,,"Kampia, Robert D.",LBT,,,"4,594",
DC,0,,"Wolterbeek, Edward Henry",R,,,"10,258",
DC,0,,"Manuel, Sam",SWP,,,"1,419",
DC,0,,Scattered,W,,,536,
DC,0,,Scattered,W(D),570,,,
DC,0,,Scattered,W(DCG),40,,,
DC,0,,Scattered,W(R),307,,,
DC,0,,Scattered,W(UM),13,,,
DE,1,,"Webster, James P.",CON,,,"2,490",
DE,1,,"Miller, Micheal C.",D,Unopposed,,"96,488",
DE,1,,"Thomas, Brad C.",LBT,,,"2,351",
DE,1,(I),"Castle, Michael N.",R,Unopposed,,"211,797",
DE,1,,Scattered,W,,,45,
FL,1,,"Condon, Bob",R,"15,808",,,
FL,1,(I),"Scarborough, Joe",R,"54,032",,"226,473",
FL,1,,"Blue, Dave",W,,,187,
FL,1,,"Coutu, Mark S.",W,,,376,
FL,1,,"Hoole, Fred",W,,,311,
FL,1,,"Wiley, Dudley",W,,,192,
FL,2,(I),"Boyd, Allen",D,Unopposed,,"185,579",
FL,2,,"Dodd, Doug",R,Unopposed,,"71,754",
FL,2,,"Frederick, Thomas A.",W,,,70,
FL,3,(I),"Brown, Corrine",D,Unopposed,,"102,143",
FL,3,,"Carroll, Jennifer S.",R,Unopposed,,"75,228",
